Invoice ID,Customer ID,Rating
101-17-6199,C163,7
101-81-4070,C868,4.9
102-06-2002,C779,6.1
102-77-2261,C777,4.2
105-10-6182,C684,6.6
105-31-1824,C170,8.5
106-35-6779,C57,5.8
109-28-2512,C68,9.9
109-86-4363,C825,4.5
110-05-6330,C401,9.4
110-48-7033,C256,9
114-35-5271,C892,8.1
115-38-7388,C882,9.5
115-99-4379,C353,8.5
118-62-1812,C906,7.9
120-06-4233,C60,9.3
120-54-2248,C776,8
122-61-9553,C367,5.6
123-19-1176,C4,8.4
123-35-4896,C598,5.3
124-31-1458,C865,6.6
125-45-2293,C850,4.2
126-54-1082,C273,8.8
127-47-6963,C586,9.8
129-29-8530,C37,7
130-67-4723,C680,9.4
130-98-8941,C181,5.7
131-15-8856,C644,4
131-70-8179,C939,4.2
132-23-6451,C413,7.8
132-32-9879,C46,9.5
133-14-7229,C524,5
133-77-3154,C655,9.4
134-54-4720,C563,5.7
134-75-2619,C555,6.9
135-13-8269,C626,9.1
135-84-8019,C346,7.6
136-08-6195,C281,6.4
137-63-5492,C738,9
137-74-8729,C889,6.8
138-17-5109,C443,6.5
139-20-0155,C291,7
139-32-4183,C983,7.4
139-52-2867,C178,4.8
142-63-6033,C213,4.9
142-72-4741,C243,6
144-51-6085,C269,4.4
145-94-9061,C29,9.6
146-09-5432,C900,4.6
148-41-7930,C984,6.1
148-82-2527,C494,8.4
149-14-0304,C726,6.6
149-15-7606,C654,5.1
149-61-1929,C631,6.7
149-71-6266,C32,4.5
150-89-8043,C345,6.2
151-16-1484,C259,6.5
151-27-8496,C912,8.6
151-33-7434,C980,6.5
152-03-4217,C863,4.3
152-08-9985,C94,8.6
152-68-2907,C597,9.5
153-58-4872,C384,4.2
154-74-7179,C265,7.9
154-87-7367,C876,6.3
155-45-3814,C642,4.7
156-20-0370,C979,5.1
156-95-3964,C760,8
157-13-5295,C235,6.5
160-22-2687,C855,8.8
162-48-8011,C52,8.5
162-65-8559,C708,4.8
163-56-7055,C101,4.1
166-19-2553,C874,9.9
169-52-4504,C656,5.8
172-42-8274,C966,5.8
173-50-1108,C543,5
173-57-2300,C689,6.1
173-82-9529,C392,9.7
174-36-3675,C316,5.2
174-64-0215,C728,8.9
174-75-0888,C561,7.3
175-54-2529,C177,9.6
176-64-7711,C702,4.3
176-78-1170,C866,7.3
181-82-6255,C922,7
181-94-6432,C312,9.7
182-52-7000,C697,6.9
182-69-8360,C380,4
182-88-2763,C635,5
183-21-3799,C713,7.2
183-56-6882,C35,7.5
186-09-3669,C418,9.2
186-43-8965,C822,4.1
186-71-5196,C909,6.2
186-79-9562,C706,8.9
187-83-5490,C455,4.7
188-55-0967,C636,5
189-08-9157,C128,5.9
189-17-4241,C28,7.7
189-40-5216,C985,6
189-52-0236,C514,7.6
189-55-2313,C810,6
189-98-2939,C102,7.2
190-14-3147,C668,6.4
190-59-3964,C820,6
