Invoice ID,Date,Time,Branch,Product ID,Quantity,Total,Tax 5%,Payment
101-17-6199,2019-03-13,19:44,A,FB26,7,336.5565,16.0265,Credit card
101-81-4070,2019-01-17,12:36,C,HB131,2,131.922,6.282,Ewallet
102-06-2002,2019-03-20,17:52,C,ST137,5,132.5625,6.3125,Cash
102-77-2261,2019-03-05,18:02,C,HB113,7,480.0285,22.8585,Credit card
105-10-6182,2019-02-27,12:22,A,FA125,2,45.108,2.148,Ewallet
105-31-1824,2019-02-01,15:10,A,ST35,7,510.972,24.332,Credit card
106-35-6779,2019-03-27,11:26,A,HL10,2,93.114,4.434,Cash
109-28-2512,2019-01-07,15:01,B,FA8,6,614.943,29.283,Ewallet
109-86-4363,2019-02-14,11:36,B,ST145,7,441.588,21.028,Credit card
110-05-6330,2019-03-25,20:18,C,FB69,6,248.409,11.829,Credit card
110-48-7033,2019-01-29,14:12,B,FA42,4,137.004,6.524,Cash
114-35-5271,2019-02-07,15:06,B,EA148,8,486.444,23.164,Cash
115-38-7388,2019-03-30,12:51,C,FA159,8,85.512,4.072,Credit card
115-99-4379,2019-03-14,19:02,B,FA56,7,402.2655,19.1555,Credit card
118-62-1812,2019-03-24,17:56,C,HL55,4,329.196,15.676,Cash
120-06-4233,2019-03-12,20:36,C,EA12,6,192.843,9.183,Cash
120-54-2248,2019-01-22,18:08,B,FB140,5,151.515,7.215,Credit card
122-61-9553,2019-03-14,19:33,C,EA65,9,484.974,23.094,Cash
123-19-1176,2019-01-27,20:33,A,HB2,8,489.048,23.288,Ewallet
123-35-4896,2019-02-17,19:11,C,ST107,9,440.937,20.997,Ewallet
124-31-1458,2019-01-08,14:30,A,EA142,3,250.7085,11.9385,Cash
125-45-2293,2019-01-19,13:11,A,FA153,6,624.33,29.73,Cash
126-54-1082,2019-01-07,11:44,A,HL48,9,203.553,9.693,Credit card
127-47-6963,2019-03-09,13:53,A,HB87,4,217.182,10.342,Credit card
129-29-8530,2019-03-10,19:15,A,ST8,5,328.755,15.655,Ewallet
130-67-4723,2019-01-11,13:57,A,FB122,6,305.55,14.55,Ewallet
130-98-8941,2019-02-09,10:00,C,FA29,7,472.311,22.491,Cash
131-15-8856,2019-03-30,19:26,C,FB117,8,609.168,29.008,Credit card
131-70-8179,2019-02-17,16:27,A,HB142,3,290.0835,13.8135,Cash
132-23-6451,2019-01-04,13:21,A,HB66,5,110.0925,5.2425,Cash
132-32-9879,2019-03-09,18:00,B,EA9,4,394.632,18.792,Cash
133-14-7229,2019-01-01,11:43,C,HB80,2,132.027,6.287,Cash
133-77-3154,2019-02-16,18:04,B,FA117,4,252.756,12.036,Credit card
134-54-4720,2019-01-30,13:58,B,EA96,8,356.328,16.968,Ewallet
134-75-2619,2019-03-25,18:51,A,EA94,7,142.002,6.762,Cash
135-13-8269,2019-01-26,16:04,B,FB112,2,165.648,7.888,Cash
135-84-8019,2019-02-27,16:10,A,FA54,9,736.4385,35.0685,Ewallet
136-08-6195,2019-02-15,17:01,A,HL51,8,587.664,27.984,Credit card
137-63-5492,2019-01-29,14:26,C,EA117,10,616.98,29.38,Ewallet
137-74-8729,2019-03-13,12:47,C,FA160,8,102.396,4.876,Ewallet
138-17-5109,2019-01-15,15:42,A,HL76,9,843.0345,40.1445,Credit card
139-20-0155,2019-01-24,17:37,B,EA45,10,423.15,20.15,Credit card
139-32-4183,2019-03-14,14:19,A,ST164,9,921.186,43.866,Ewallet
139-52-2867,2019-02-13,10:50,C,FA28,7,165.4485,7.8785,Credit card
142-63-6033,2019-03-20,19:17,B,HL36,5,484.89,23.09,Ewallet
142-72-4741,2019-02-28,18:37,C,FA39,2,195.72,9.32,Credit card
144-51-6085,2019-01-05,16:05,A,HL46,4,297.108,14.148,Credit card
145-94-9061,2019-01-25,19:48,B,FB4,5,463.89,22.09,Cash
146-09-5432,2019-02-09,19:17,A,FB154,9,331.128,15.768,Ewallet
148-41-7930,2019-01-23,10:33,C,HB148,7,734.706,34.986,Cash
