Invoice ID,cogs,gross income,gross margin percentage
101-17-6199,320.53,16.0265,4.76190476
101-81-4070,125.64,6.282,4.761904762
102-06-2002,126.25,6.3125,4.76190476
102-77-2261,457.17,22.8585,4.761904762
105-10-6182,42.96,2.148,4.76190476
105-31-1824,486.64,24.332,4.76190476
106-35-6779,88.68,4.434,4.761904762
109-28-2512,585.66,29.283,4.76190476
109-86-4363,420.56,21.028,4.76190476
110-05-6330,236.58,11.829,4.76190476
110-48-7033,130.48,6.524,4.76190476
114-35-5271,463.28,23.164,4.761904762
115-38-7388,81.44,4.072,4.76190476
115-99-4379,383.11,19.1555,4.76190476
118-62-1812,313.52,15.676,4.761904762
120-06-4233,183.66,9.183,4.761904762
120-54-2248,144.3,7.215,4.76190476
122-61-9553,461.88,23.094,4.761904762
123-19-1176,465.76,23.288,4.761904762
123-35-4896,419.94,20.997,4.76190476
124-31-1458,238.77,11.9385,4.761904762
125-45-2293,594.6,29.73,4.76190476
126-54-1082,193.86,9.693,4.761904762
127-47-6963,206.84,10.342,4.761904762
129-29-8530,313.1,15.655,4.76190476
130-67-4723,291,14.55,4.76190476
130-98-8941,449.82,22.491,4.76190476
131-15-8856,580.16,29.008,4.76190476
131-70-8179,276.27,13.8135,4.761904762
132-23-6451,104.85,5.2425,4.761904762
132-32-9879,375.84,18.792,4.761904762
133-14-7229,125.74,6.287,4.761904762
133-77-3154,240.72,12.036,4.76190476
134-54-4720,339.36,16.968,4.761904762
134-75-2619,135.24,6.762,4.761904762
135-13-8269,157.76,7.888,4.76190476
135-84-8019,701.37,35.0685,4.76190476
136-08-6195,559.68,27.984,4.761904762
137-63-5492,587.6,29.38,4.761904762
137-74-8729,97.52,4.876,4.76190476
138-17-5109,802.89,40.1445,4.761904762
139-20-0155,403,20.15,4.761904762
139-32-4183,877.32,43.866,4.76190476
139-52-2867,157.57,7.8785,4.76190476
142-63-6033,461.8,23.09,4.761904762
142-72-4741,186.4,9.32,4.76190476
144-51-6085,282.96,14.148,4.761904762
145-94-9061,441.8,22.09,4.76190476
146-09-5432,315.36,15.768,4.76190476
148-41-7930,699.72,34.986,4.761904762
148-82-2527,121.2,6.06,4.761904762
149-14-0304,228,11.4,4.761904762
149-15-7606,335.88,16.794,4.76190476
149-61-1929,641.9,32.095,4.76190476
149-71-6266,702.63,35.1315,4.76190476
150-89-8043,133.95,6.6975,4.76190476
151-16-1484,129,6.45,4.761904762
151-27-8496,224.52,11.226,4.761904762
151-33-7434,67.77,3.3885,4.76190476
152-03-4217,101.52,5.076,4.761904762
152-08-9985,579.24,28.962,4.761904762
152-68-2907,156.6,7.83,4.76190476
153-58-4872,299.56,14.978,4.76190476
154-74-7179,54.45,2.7225,4.76190476
154-87-7367,522.08,26.104,4.761904762
155-45-3814,708.4,35.42,4.761904762
156-20-0370,25.45,1.2725,4.761904762
156-95-3964,221.56,11.078,4.76190476
157-13-5295,519.4,25.97,4.761904762
160-22-2687,479.75,23.9875,4.761904762
162-48-8011,222.95,11.1475,4.76190476
162-65-8559,68.98,3.449,4.76190476
163-56-7055,48.71,2.4355,4.76190476
166-19-2553,534.36,26.718,4.76190476
169-52-4504,47.07,2.3535,4.761904762
172-42-8274,76.54,3.827,4.761904762
173-50-1108,80.72,4.036,4.76190476
173-57-2300,145.76,7.288,4.76190476
173-82-9529,379.5,18.975,4.76190476
174-36-3675,198.74,9.937,4.76190476
174-64-0215,697.4,34.87,4.76190476
174-75-0888,194.22,9.711,4.761904762
175-54-2529,177.36,8.868,4.76190476
176-64-7711,96.96,4.848,4.76190476
176-78-1170,101.43,5.0715,4.761904762
181-82-6255,98.22,4.911,4.761904762
181-94-6432,138.66,6.933,4.76190476
182-52-7000,108.16,5.408,4.76190476
182-69-8360,94.6,4.73,4.761904762
182-88-2763,239.73,11.9865,4.76190476
183-21-3799,698.67,34.9335,4.761904762
183-56-6882,397.68,19.884,4.76190476
186-09-3669,81.51,4.0755,4.761904762
186-43-8965,95.36,4.768,4.761904762
186-71-5196,159.08,7.954,4.76190476
186-79-9562,502.39,25.1195,4.761904762
187-83-5490,83.08,4.154,4.761904762
188-55-0967,664.7,33.235,4.761904762
189-08-9157,285.57,14.2785,4.76190476
189-17-4241,175.34,8.767,4.76190476
189-40-5216,674.59,33.7295,4.761904762
189-52-0236,696.85,34.8425,4.761904762
189-55-2313,621.8,31.09,4.76190476
189-98-2939,706.95,35.3475,4.76190476
190-14-3147,71.88,3.594,4.761904762
190-59-3964,235.8,11.79,4.76190476
191-10-6171,277.34,13.867,4.76190476
191-29-0321,197.7,9.885,4.76190476
192-98-7397,12.78,0.639,4.76190476
195-06-0432,243.03,12.1515,4.761904762
196-01-2849,513.66,25.683,4.76190476
197-77-7132,732.48,36.624,4.761904762
198-66-9832,144.08,7.204,4.76190476
198-84-7132,365.49,18.2745,4.76190476
199-75-8169,158.1,7.905,4.76190476
200-16-5952,131.3,6.565,4.76190476
200-40-6154,395.46,19.773,4.761904762
201-63-8275,475.93,23.7965,4.76190476
201-86-2184,183.82,9.191,4.761904762
207-73-1363,139.02,6.951,4.761904762
209-61-0206,214.55,10.7275,4.761904762
210-30-7976,89.28,4.464,4.76190476
210-57-1719,524.16,26.208,4.761904762
210-67-5886,294.63,14.7315,4.761904762
210-74-9613,389.04,19.452,4.76190476
211-05-0490,259.6,12.98,4.761904762
211-30-9270,87.05,4.3525,4.761904762
212-62-1842,349.56,17.478,4.76190476
213-32-1216,396.36,19.818,4.761904762
213-72-6612,86.5,4.325,4.76190476
214-17-6927,98.88,4.944,4.76190476
214-30-2776,172.45,8.6225,4.761904762
217-58-1179,250.6,12.53,4.761904762
218-59-9410,217.26,10.863,4.761904762
219-22-9386,899.64,44.982,4.76190476
219-61-4139,83.08,4.154,4.761904762
220-28-1851,69.46,3.473,4.761904762
220-68-6701,309.88,15.494,4.761904762
221-25-5073,298.64,14.932,4.76190476
222-42-0244,648.99,32.4495,4.761904762
225-32-0908,448.6,22.43,4.76190476
225-98-1496,81.06,4.053,4.76190476
226-31-3081,76.4,3.82,4.761904762
226-34-0034,55.12,2.756,4.761904762
226-71-3580,213.75,10.6875,4.76190476
227-03-5010,420.72,21.036,4.761904762
227-07-4446,781.3,39.065,4.761904762
227-50-3718,73.1,3.655,4.761904762
227-78-1148,509.88,25.494,4.76190476
228-96-1411,789.6,39.48,4.76190476
232-11-3025,787.7,39.385,4.76190476
232-16-2483,68.12,3.406,4.76190476
233-34-0817,98.84,4.942,4.761904762
233-67-5758,40.35,2.0175,4.761904762
234-03-4040,730.5,36.525,4.76190476
234-36-2483,345.54,17.277,4.761904762
234-65-2137,955.8,47.79,4.761904762
235-06-8510,257.16,12.858,4.761904762
235-46-8343,276.6,13.83,4.76190476
236-27-1144,146.79,7.3395,4.76190476
236-86-3015,13.98,0.699,4.761904762
237-01-6122,727.11,36.3555,4.761904762
237-44-6163,84.48,4.224,4.761904762
238-45-6950,53.72,2.686,4.76190476
238-49-0436,259.68,12.984,4.761904762
239-10-7476,467.7,23.385,4.761904762
239-36-3640,272.1,13.605,4.761904762
239-48-4278,70.91,3.5455,4.76190476
241-11-2261,559.02,27.951,4.76190476
241-72-9525,519.1,25.955,4.76190476
241-96-5076,98.2,4.91,4.761904762
242-11-3142,167.54,8.377,4.76190476
242-55-6721,32.32,1.616,4.761904762
243-47-2663,112.62,5.631,4.761904762
243-55-8457,744.4,37.22,4.76190476
244-08-0162,342.1,17.105,4.761904762
246-11-3901,328,16.4,4.761904762
246-55-6923,322.11,16.1055,4.761904762
247-11-2470,89.28,4.464,4.76190476
249-42-3782,350.05,17.5025,4.761904762
250-17-5703,188.5,9.425,4.76190476
250-81-7186,99.69,4.9845,4.761904762
252-56-2699,431.9,21.595,4.76190476
253-12-6086,688.8,34.44,4.76190476
254-31-0042,193.5,9.675,4.761904762
256-08-8343,226.12,11.306,4.761904762
256-58-3609,91.98,4.599,4.76190476
257-60-7754,200.92,10.046,4.761904762
257-73-1380,331.72,16.586,4.76190476
258-69-7810,184.25,9.2125,4.76190476
258-92-7466,178.4,8.92,4.761904762
261-12-8671,121.92,6.096,4.76190476
262-47-2794,574.88,28.744,4.761904762
263-10-3913,441.36,22.068,4.76190476
263-12-5321,648.2,32.41,4.761904762
263-87-5680,285.3,14.265,4.761904762
266-20-6657,385.28,19.264,4.76190476
266-76-6436,115.8,5.79,4.76190476
267-62-7380,823.4,41.17,4.761904762
268-03-6164,96.11,4.8055,4.761904762
268-20-3585,124.65,6.2325,4.761904762
268-27-6179,451.76,22.588,4.76190476
269-04-5750,295.28,14.764,4.76190476
269-10-8440,372.19,18.6095,4.761904762
271-77-8740,175.32,8.766,4.76190476
271-88-8734,972.1,48.605,4.76190476
272-27-9238,164.96,8.248,4.76190476
272-65-1806,547.92,27.396,4.761904762
273-16-6619,66.4,3.32,4.761904762
273-84-2164,60.25,3.0125,4.761904762
274-05-5470,293.88,14.694,4.76190476
275-28-0149,63.69,3.1845,4.76190476
276-54-0879,390.96,19.548,4.76190476
276-75-6884,206.13,10.3065,4.761904762
277-35-5865,890.73,44.5365,4.76190476
277-63-2961,73.97,3.6985,4.76190476
278-86-2735,157.02,7.851,4.76190476
278-97-7759,62.48,3.124,4.761904762
279-62-1445,12.54,0.627,4.76190476
279-74-2924,72.17,3.6085,4.761904762
280-17-4359,905,45.25,4.761904762
280-35-5823,86.72,4.336,4.761904762
282-35-2475,186.62,9.331,4.76190476
283-26-5248,985.2,49.26,4.76190476
283-79-9594,339.57,16.9785,4.76190476
284-34-9626,231.12,11.556,4.761904762
284-54-4231,80.93,4.0465,4.76190476
285-68-5083,74.22,3.711,4.76190476
286-01-5402,281.61,14.0805,4.76190476
286-43-6208,790.2,39.51,4.76190476
286-62-6248,156.84,7.842,4.76190476
286-75-7818,138.16,6.908,4.76190476
287-21-9091,672.03,33.6015,4.761904762
287-83-1405,152.58,7.629,4.761904762
288-38-3758,254.61,12.7305,4.76190476
288-62-1085,192.7,9.635,4.76190476
289-15-7034,329.32,16.466,4.76190476
289-65-5721,162.74,8.137,4.76190476
290-68-2984,95,4.75,4.761904762
291-21-5991,306.45,15.3225,4.761904762
291-32-1427,109.7,5.485,4.76190476
291-55-6563,206.52,10.326,4.761904762
291-59-1384,60.3,3.015,4.761904762
296-11-7041,27.07,1.3535,4.761904762
299-29-0180,365.26,18.263,4.761904762
299-46-1805,562.32,28.116,4.76190476
300-71-4605,430.2,21.51,4.761904762
301-11-9629,133.7,6.685,4.76190476
301-81-8610,203.36,10.168,4.76190476
302-15-2162,279.18,13.959,4.761904762
303-96-2227,973.8,48.69,4.761904762
305-03-2383,201.3,10.065,4.76190476
305-14-0245,755.92,37.796,4.761904762
305-18-3552,603.8,30.19,4.761904762
305-89-2768,65.7,3.285,4.761904762
307-04-2070,30.62,1.531,4.76190476
307-83-9164,240.04,12.002,4.761904762
307-85-2293,251.4,12.57,4.761904762
308-39-1707,12.09,0.6045,4.76190476
308-47-4913,522.6,26.13,4.76190476
308-81-0538,292.2,14.61,4.76190476
311-13-6971,319.9,15.995,4.76190476
313-66-9943,87.45,4.3725,4.76190476
314-23-4520,568.61,28.4305,4.761904762
315-22-5665,735.6,36.78,4.761904762
316-01-3952,271.35,13.5675,4.76190476
316-55-4634,400.25,20.0125,4.76190476
316-66-3011,428.67,21.4335,4.76190476
316-68-6352,72.72,3.636,4.76190476
318-12-0304,30.61,1.5305,4.76190476
318-68-5053,461.94,23.097,4.761904762
318-81-2368,46.2,2.31,4.761904762
319-50-3348,80.6,4.03,4.761904762
319-74-2561,283.92,14.196,4.761904762
320-32-8842,22.62,1.131,4.76190476
320-49-6392,30.24,1.512,4.761904762
320-85-2052,34.81,1.7405,4.76190476
321-49-7382,88.31,4.4155,4.76190476
322-02-2271,128.91,6.4455,4.76190476
324-41-6833,241.6,12.08,4.761904762
324-92-3863,41.78,2.089,4.761904762
325-77-6186,906.5,45.325,4.761904762
325-89-4209,87.9,4.395,4.76190476
325-90-8763,465.7,23.285,4.761904762
326-71-2155,295.8,14.79,4.76190476
326-78-5178,639.8,31.99,4.76190476
327-40-9673,435.6,21.78,4.76190476
329-62-1586,164.01,8.2005,4.76190476
333-23-2632,70.56,3.528,4.761904762
333-73-7901,439.36,21.968,4.761904762
334-64-2006,140.64,7.032,4.761904762
336-78-2147,511.28,25.564,4.761904762
338-65-2210,686,34.3,4.761904762
339-12-4827,73.96,3.698,4.76190476
339-18-7061,185.96,9.298,4.76190476
339-38-9982,119.72,5.986,4.76190476
339-96-8318,569.17,28.4585,4.76190476
340-21-9136,160.2,8.01,4.76190476
340-66-0321,145.44,7.272,4.761904762
342-65-4817,260.4,13.02,4.761904762
343-61-3544,266.7,13.335,4.76190476
343-75-9322,94.8,4.74,4.76190476
343-87-0864,75.88,3.794,4.761904762
345-08-4992,203.94,10.197,4.761904762
345-68-9016,253.36,12.668,4.76190476
346-12-3257,173.16,8.658,4.761904762
346-84-3103,66.1,3.305,4.761904762
347-34-2234,495.63,24.7815,4.76190476
347-56-2442,65.82,3.291,4.761904762
347-72-6115,635.18,31.759,4.76190476
349-97-8902,115.78,5.789,4.76190476
351-62-0822,57.92,2.896,4.76190476
354-25-5821,414.72,20.736,4.76190476
354-39-5160,206.52,10.326,4.761904762
355-34-6244,144.78,7.239,4.76190476
355-53-5943,413.04,20.652,4.761904762
356-44-8813,112.44,5.622,4.761904762
358-88-9262,524.88,26.244,4.76190476
359-90-3665,72.32,3.616,4.76190476
359-94-5395,92.78,4.639,4.761904762
360-39-5055,244.55,12.2275,4.76190476
361-59-0574,724.24,36.212,4.76190476
361-85-2571,447.4,22.37,4.76190476
362-58-8315,382.6,19.13,4.76190476
364-33-8584,88.15,4.4075,4.76190476
364-34-2972,290.46,14.523,4.761904762
365-16-4334,211.44,10.572,4.76190476
365-64-0515,234.75,11.7375,4.761904762
366-43-6862,211.56,10.578,4.761904762
366-93-0948,66.35,3.3175,4.761904762
369-82-2676,378.3,18.915,4.761904762
370-41-7321,510.21,25.5105,4.761904762
370-96-0655,295.92,14.796,4.76190476
371-85-5789,263.94,13.197,4.761904762
372-26-1506,119.1,5.955,4.76190476
372-62-5264,473.4,23.67,4.76190476
372-94-8041,91.56,4.578,4.761904762
373-09-4567,775.6,38.78,4.76190476
373-14-0504,143.26,7.163,4.76190476
373-73-7910,604.17,30.2085,4.76190476
373-88-1424,179.05,8.9525,4.761904762
374-17-3652,385.38,19.269,4.76190476
374-38-5555,318.55,15.9275,4.76190476
375-72-3056,189.18,9.459,4.76190476
376-02-8238,750.96,37.548,4.761904762
376-56-3573,381.68,19.084,4.76190476
377-79-7592,403.56,20.178,4.761904762
378-07-7001,144.27,7.2135,4.761904762
378-24-2715,106.88,5.344,4.761904762
379-17-6588,596.1,29.805,4.76190476
380-60-5336,402.6,20.13,4.761904762
380-94-4661,263.76,13.188,4.761904762
381-20-0914,180.09,9.0045,4.76190476
382-03-4532,18.33,0.9165,4.761904762
382-25-8917,252.48,12.624,4.76190476
384-59-6655,887.94,44.397,4.76190476
386-27-7606,568.4,28.42,4.761904762
387-49-4215,145.5,7.275,4.76190476
388-76-2555,82.14,4.107,4.76190476
389-25-3394,59.05,2.9525,4.761904762
389-70-2397,418.3,20.915,4.761904762
390-17-5806,38.42,1.921,4.76190476
390-31-6381,81.66,4.083,4.76190476
390-80-5128,19.15,0.9575,4.761904762
393-65-2792,894.8,44.74,4.76190476
394-30-3170,707.44,35.372,4.76190476
394-41-0748,486.63,24.3315,4.76190476
394-43-4238,88.85,4.4425,4.761904762
394-55-6384,631.71,31.5855,4.76190476
396-90-2219,119.68,5.984,4.761904762
397-25-8725,356.58,17.829,4.761904762
399-46-5918,687.84,34.392,4.761904762
399-69-4630,133.26,6.663,4.761904762
400-45-1220,135,6.75,4.761904762
400-60-7251,74.07,3.7035,4.761904762
400-80-4065,274.2,13.71,4.761904762
400-89-4171,647.76,32.388,4.76190476
401-09-4232,433.45,21.6725,4.761904762
401-18-8016,98.13,4.9065,4.76190476
404-91-5964,522.06,26.103,4.761904762
405-31-3305,431.3,21.565,4.76190476
406-46-7107,579.12,28.956,4.761904762
407-63-8975,443.28,22.164,4.76190476
408-26-9866,517.86,25.893,4.76190476
408-66-6712,286.26,14.313,4.761904762
409-33-9708,196.96,9.848,4.76190476
409-49-6995,283.62,14.181,4.76190476
410-67-1709,511.04,25.552,4.76190476
411-77-0180,505.4,25.27,4.761904762
413-20-6708,51.47,2.5735,4.76190476
414-12-7047,158.32,7.916,4.76190476
416-13-5917,485.15,24.2575,4.76190476
416-17-9926,742.2,37.11,4.761904762
418-02-5978,756.81,37.8405,4.761904762
418-05-0656,178.92,8.946,4.76190476
420-04-7590,299.1,14.955,4.761904762
420-11-4919,356.95,17.8475,4.76190476
420-18-8989,412.16,20.608,4.76190476
420-97-3340,215.04,10.752,4.76190476
421-95-9805,28.96,1.448,4.761904762
422-29-8786,335.45,16.7725,4.761904762
423-57-2993,560.34,28.017,4.76190476
423-64-4619,139.95,6.9975,4.761904762
423-80-0988,152.8,7.64,4.76190476
425-85-2085,274.3,13.715,4.761904762
426-39-2418,429.87,21.4935,4.761904762
427-45-9297,285.11,14.2555,4.761904762
428-83-5800,63.24,3.162,4.76190476
430-02-3888,276.12,13.806,4.761904762
430-53-4718,602.96,30.148,4.761904762
430-60-3493,664.16,33.208,4.761904762
431-66-2305,794.25,39.7125,4.761904762
433-08-7822,552.23,27.6115,4.761904762
433-75-6987,391.79,19.5895,4.761904762
434-35-9162,93.36,4.668,4.76190476
434-83-9547,307.76,15.388,4.76190476
435-13-4908,693.44,34.672,4.76190476
436-54-4512,91.61,4.5805,4.76190476
437-53-3084,199.78,9.989,4.76190476
437-58-8131,147.04,7.352,4.76190476
438-01-4015,197.96,9.898,4.76190476
438-23-1242,531.16,26.558,4.761904762
439-54-7422,204.76,10.238,4.761904762
440-59-5691,260.05,13.0025,4.761904762
441-94-7118,71.95,3.5975,4.761904762
442-44-6497,166.71,8.3355,4.761904762
442-48-3607,46.96,2.348,4.76190476
443-59-0061,674.5,33.725,4.76190476
443-60-9639,60.87,3.0435,4.761904762
443-82-0585,310.72,15.536,4.761904762
445-30-9252,77.1,3.855,4.76190476
446-47-6729,199.64,9.982,4.76190476
447-15-7839,222.4,11.12,4.76190476
448-34-8700,258.37,12.9185,4.761904762
448-61-3783,720.16,36.008,4.761904762
448-81-5016,119.54,5.977,4.761904762
449-16-6770,253.95,12.6975,4.761904762
449-27-2918,39.12,1.956,4.76190476
450-28-2866,87.2,4.36,4.76190476
450-42-3339,846.1,42.305,4.761904762
451-28-5717,499.02,24.951,4.761904762
451-73-2711,84.83,4.2415,4.76190476
452-04-8808,609.56,30.478,4.761904762
453-12-7053,137.22,6.861,4.76190476
453-33-6436,744.96,37.248,4.761904762
453-63-6187,82.5,4.125,4.761904762
457-12-0244,211.32,10.566,4.76190476
457-13-1708,652.3,32.615,4.76190476
457-94-0464,790.83,39.5415,4.761904762
458-10-8612,448.56,22.428,4.761904762
458-41-1477,277.56,13.878,4.761904762
458-61-0011,241.2,12.06,4.76190476
459-45-2396,298.8,14.94,4.76190476
459-50-7686,140.76,7.038,4.761904762
460-35-4390,92.04,4.602,4.761904762
460-93-5834,319.06,15.953,4.76190476
462-67-9126,439.32,21.966,4.761904762
462-78-5240,53.22,2.661,4.761904762
466-61-5506,544.2,27.21,4.761904762
468-01-2051,434.56,21.728,4.76190476
468-88-0009,263.76,13.188,4.761904762
468-99-7231,352.08,17.604,4.761904762
470-31-3286,44.46,2.223,4.761904762
470-32-9057,256.7,12.835,4.76190476
471-06-8611,52.42,2.621,4.76190476
471-41-2823,199.58,9.979,4.76190476
472-15-9636,407.44,20.372,4.761904762
474-33-8305,471.73,23.5865,4.76190476
477-24-6490,598.26,29.913,4.761904762
477-59-2456,318.08,15.904,4.76190476
478-06-7835,89.69,4.4845,4.76190476
479-26-8945,32.98,1.649,4.76190476
480-63-2856,154,7.7,4.76190476
482-17-1179,35.82,1.791,4.761904762
483-71-1164,487.8,24.39,4.761904762
484-22-8230,363.23,18.1615,4.76190476
485-30-8700,166.3,8.315,4.76190476
487-79-6868,110.61,5.5305,4.761904762
488-25-4221,30.41,1.5205,4.76190476
489-64-4354,16.28,0.814,4.76190476
489-82-1237,657.16,32.858,4.761904762
490-29-1201,15.34,0.767,4.76190476
490-95-0021,332.1,16.605,4.76190476
491-38-3499,55.45,2.7725,4.76190476
493-65-6248,369.8,18.49,4.76190476
497-36-0989,155.82,7.791,4.76190476
497-37-6538,412.37,20.6185,4.76190476
498-41-1961,333.4,16.67,4.761904762
499-27-7781,425.68,21.284,4.76190476
500-02-2261,343.74,17.187,4.76190476
501-61-1753,378.9,18.945,4.761904762
502-05-1910,195.54,9.777,4.761904762
503-07-0930,408.73,20.4365,4.76190476
503-21-4385,119.73,5.9865,4.761904762
504-35-8843,42.47,2.1235,4.76190476
505-02-0892,340.56,17.028,4.761904762
509-10-0516,183.88,9.194,4.761904762
509-29-3912,348.48,17.424,4.76190476
510-09-5628,196.6,9.83,4.76190476
510-79-0415,138.48,6.924,4.76190476
510-95-6347,145.56,7.278,4.76190476
511-54-3087,88.45,4.4225,4.76190476
512-91-0811,89.75,4.4875,4.761904762
512-98-1403,79.44,3.972,4.761904762
514-37-2845,198.5,9.925,4.76190476
516-77-6464,50.8,2.54,4.761904762
518-17-2983,194.52,9.726,4.76190476
518-71-6847,159.6,7.98,4.76190476
521-18-7827,196.95,9.8475,4.761904762
522-57-8364,410.72,20.536,4.76190476
523-38-0215,37,1.85,4.761904762
525-09-8450,721.3,36.065,4.761904762
525-88-7307,75.82,3.791,4.76190476
526-86-8552,218.2,10.91,4.761904762
527-09-6272,142.25,7.1125,4.761904762
528-14-9470,91.3,4.565,4.761904762
528-87-5606,39.48,1.974,4.761904762
529-56-3974,102.04,5.102,4.761904762
530-90-9855,380.72,19.036,4.761904762
531-56-4728,240.24,12.012,4.761904762
531-80-1784,182.14,9.107,4.761904762
532-59-7201,479.58,23.979,4.76190476
533-33-5337,793.9,39.695,4.761904762
533-66-5566,357.49,17.8745,4.761904762
534-01-4457,490.26,24.513,4.76190476
534-53-3526,379.04,18.952,4.76190476
537-72-0426,709.9,35.495,4.76190476
538-22-0304,649.5,32.475,4.761904762
539-21-7227,257.7,12.885,4.76190476
540-11-4336,224.46,11.223,4.76190476
541-08-3113,527.76,26.388,4.76190476
541-48-8554,548.55,27.4275,4.76190476
541-89-9860,241.44,12.072,4.76190476
542-41-0513,229.96,11.498,4.761904762
544-32-5024,199.16,9.958,4.76190476
544-55-9589,214.3,10.715,4.761904762
545-07-8534,116.64,5.832,4.761904762
545-46-3100,31.77,1.5885,4.761904762
546-80-2899,75.38,3.769,4.761904762
